title	first	last	first1	last1	first2	last2	publisher	date	url	archive-url
we were told to stop trespassing at all costs	kate	bowen					deutsche welle	11/02/06	http://www.dw-world.de/dw/article/0,,2212167,00.html
freida pinto joins idris elba in showtime-sky miniseries 'guerrilla'	leo	barraclough					variety	06/28/16	https://variety.com/2016/film/global/freida-pinto-showtime-sky-miniseries-guerrilla-1201804986/
god and the state	michael	bakunin					mother earth publishing association	04/09/11	http://dwardmac.pitzer.edu/anarchist_archives/bakunin/godandstate/godandstate_ch1.html
sholay review							the digital fix	08/09/10	http://film.thedigitalfix.com/content.php?contentid=58178
baseball is struggling to hook kids – and risks losing fans to other sports	madrchs	fisher					the washington post	04/05/15	https://www.washingtonpost.com/sports/nationals/baseballs-trouble-with-the-youth-curve--and-what-that-means-for-the-game/2015/04/05/2da36dca-d7e8-11e4-8103-fa84725dbf9d_story.html
microsoft: morro won't compete with symantec, mcafee	stefanie	hoffman					crn	11/19/08	http://www.crn.com/news/security/212100928/microsoft-morro-wont-compete-with-symantec-mcafee.htm
karmichael hunt stuns australia by making historic code switch to aussie rules	nick	pearce						07/30/09	https://www.telegraph.co.uk/sport/rugbyleague/5939159/karmichael-hunt-stuns-australia-by-making-historic-code-switch-to-aussie-rules.html
wga announces screenplay noms	guylaine	cadorette					hollywood media corp	01/02/04	http://www.hollywood.com/news/wga_announces_screenplay_noms/1740296
burges' stained glass panels return home to castell coch							bbc wales	04/01/11	http://www.bbc.co.uk/blogs/legacy/waleshistory/2011/04/castell_coch_william_burges_stained_glass_panels.html
new voices unite for 'we are the world'	edna	gunderson					usa today	02/02/10	https://www.usatoday.com/life/music/news/2010-02-02-we-are-world-main_n.htm
in a culture of privilege and alcohol at yale, her world converged with kavanaugh's	stephanie	saul	robin	pogrebin	mike	mcintire	new york times	09/25/18	https://www.nytimes.com/2018/09/25/us/politics/deborah-ramirez-brett-kavanaugh-allegations.html
7 world trade center fully leased	steve	cuozzo					new york post	09/19/11	https://nypost.com/2011/09/19/7-world-trade-center-fully-leased/
<<<<<<< HEAD
=======
'monster' at the berlaymont	david	herszenhorn					politico	11/17/16	https://www.politico.eu/article/monster-at-the-berlaymont-martin-selmayr-european-commission-jean-claude-juncker/
>>>>>>> 29735f24d3161f6738ee30fbad0d682d16f25dfe
titan's haze may hold ingredients for life								10/08/10	http://www.astronomy.com/news-observing/news/2010/10/titans%20haze%20may%20hold%20ingredients%20for%20life
the pc gamer top 100 greatest games							pc gamer	09/03/15	http://www.pcgamer.com/best-pc-games/#page-5
marilyn manson honored with kerrang! lifetime achievement award	ed	baran					thomson reuters	06/11/15	https://www.reuters.com/article/us-music-manson-iduskbn0os15v20150612
i'm no hero says aussie soldier with vc	juliane	drape	cathy	alexander			fairfax media	01/16/09	http://news.theage.com.au/breaking-news-national/im-no-hero-says-aussie-soldier-with-vc-20090116-7imy.html
